,image_url,Id,Names,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,0001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45
1,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,0002,Ivysaur,Grass,Poison,405,60,62,63,80,80,60
2,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,0003,Venusaur,Grass,Poison,525,80,82,83,100,100,80
3,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,0003,Venusaur Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80
4,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,0004,Charmander,Fire,,309,39,52,43,60,50,65
5,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,0005,Charmeleon,Fire,,405,58,64,58,80,65,80
6,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,0006,Charizard,Fire,Flying,534,78,84,78,109,85,100
7,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,0006,Charizard Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100
8,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,0006,Charizard Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100
9,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,0007,Squirtle,Water,,314,44,48,65,50,64,43
10,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,0008,Wartortle,Water,,405,59,63,80,65,80,58
11,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,0009,Blastoise,Water,,530,79,83,100,85,105,78
12,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,0009,Blastoise Mega Blastoise,Water,,630,79,103,120,135,115,78
13,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,0010,Caterpie,Bug,,195,45,30,35,20,20,45
14,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,0011,Metapod,Bug,,205,50,20,55,25,25,30
15,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,0012,Butterfree,Bug,Flying,395,60,45,50,90,80,70
16,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,0013,Weedle,Bug,Poison,195,40,35,30,20,20,50
17,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,0014,Kakuna,Bug,Poison,205,45,25,50,25,25,35
18,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,0015,Beedrill,Bug,Poison,395,65,90,40,45,80,75
19,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,0015,Beedrill Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145
20,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,0016,Pidgey,Normal,Flying,251,40,45,40,35,35,56
21,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,0017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71
22,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,0018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101
23,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,0018,Pidgeot Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121
24,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,0019,Rattata,Normal,,253,30,56,35,25,35,72
25,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,0019,Rattata Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72
26,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,0020,Raticate,Normal,,413,55,81,60,50,70,97
27,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,0020,Raticate Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77
28,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,0021,Spearow,Normal,Flying,262,40,60,30,31,31,70
29,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,0022,Fearow,Normal,Flying,442,65,90,65,61,61,100
30,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,0023,Ekans,Poison,,288,35,60,44,40,54,55
31,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,0024,Arbok,Poison,,448,60,95,69,65,79,80
32,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,0025,Pikachu,Electric,,320,35,55,40,50,50,90
33,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,0025,Pikachu Partner Pikachu,Electric,,430,45,80,50,75,60,120
34,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,0026,Raichu,Electric,,485,60,90,55,90,80,110
35,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,0026,Raichu Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110
36,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,0027,Sandshrew,Ground,,300,50,75,85,20,30,40
37,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,0027,Sandshrew Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40
38,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,0028,Sandslash,Ground,,450,75,100,110,45,55,65
39,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,0028,Sandslash Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65
40,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,0029,Nidoran♀,Poison,,275,55,47,52,40,40,41
41,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,0030,Nidorina,Poison,,365,70,62,67,55,55,56
42,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,0031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76
43,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,0032,Nidoran♂,Poison,,273,46,57,40,40,40,50
44,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,0033,Nidorino,Poison,,365,61,72,57,55,55,65
45,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,0034,Nidoking,Poison,Ground,505,81,102,77,85,75,85
46,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,0035,Clefairy,Fairy,,323,70,45,48,60,65,35
47,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,0036,Clefable,Fairy,,483,95,70,73,95,90,60
48,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,0037,Vulpix,Fire,,299,38,41,40,50,65,65
49,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,0037,Vulpix Alolan Vulpix,Ice,,299,38,41,40,50,65,65
50,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,0038,Ninetales,Fire,,505,73,76,75,81,100,100
51,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,0038,Ninetales Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109
52,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,0039,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20
53,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,0040,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45
54,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,0041,Zubat,Poison,Flying,245,40,45,35,30,40,55
55,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,0042,Golbat,Poison,Flying,455,75,80,70,65,75,90
56,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,0043,Oddish,Grass,Poison,320,45,50,55,75,65,30
57,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,0044,Gloom,Grass,Poison,395,60,65,70,85,75,40
58,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,0045,Vileplume,Grass,Poison,490,75,80,85,110,90,50
59,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,0046,Paras,Bug,Grass,285,35,70,55,45,55,25
60,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,0047,Parasect,Bug,Grass,405,60,95,80,60,80,30
61,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,0048,Venonat,Bug,Poison,305,60,55,50,40,55,45
62,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,0049,Venomoth,Bug,Poison,450,70,65,60,90,75,90
63,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,0050,Diglett,Ground,,265,10,55,25,35,45,95
64,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,0050,Diglett Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90
65,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,0051,Dugtrio,Ground,,425,35,100,50,50,70,120
66,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,0051,Dugtrio Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110
67,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,0052,Meowth,Normal,,290,40,45,35,40,40,90
68,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,0052,Meowth Alolan Meowth,Dark,,290,40,35,35,50,40,90
